Time,Competitor,Operation,OrderId,Instrument,Side,Volume,Price,Lifespan,Fee
0.0,,Insert,227743459,0,B,590,126200,G,
0.0,,Insert,227743475,0,B,980,126200,G,
0.0,,Insert,227743523,0,B,1000,125900,G,
0.0,,Cancel,227743459,,,-590,,,
0.0,,Insert,227743627,0,A,590,126400,G,
0.0,,Insert,227743699,0,B,1000,126200,G,
0.0,,Cancel,227743627,,,-590,,,
0.0,,Insert,227743719,0,B,590,126200,G,
0.0,,Cancel,227743719,,,-590,,,
0.0,,Insert,227743763,0,A,590,126400,G,
0.0,,Insert,227743771,0,B,420,126200,G,
0.0,,Insert,227743795,0,B,1000,126300,G,
0.0,,Cancel,227743763,,,-590,,,
0.0,,Insert,227743839,0,A,980,126900,G,
0.0,,Insert,227743871,0,B,1000,126300,G,
0.0,,Insert,227743931,0,B,2000,92500,G,
0.0,,Insert,227743939,0,B,1000,126300,G,
0.0,,Insert,227743947,0,A,2000,160900,G,
0.0,,Insert,227743959,0,B,1000,126200,G,
0.0,,Insert,227743963,0,A,1000,126500,G,
0.0,,Cancel,227743795,,,-1000,,,
0.0,,Insert,227744099,0,A,590,126500,G,
0.0,,Insert,227744299,0,B,1000,126300,G,
0.0,,Insert,227744327,0,B,1000,126300,G,
0.0,,Insert,227744355,0,A,1000,126500,G,
0.0,,Cancel,227744299,,,-1000,,,
0.0,,Insert,227744487,0,B,1000,126200,G,
0.0,,Insert,227744535,0,A,1000,126500,G,
0.0,,Insert,227744603,0,A,980,127000,G,
0.0,,Cancel,227744603,,,-980,,,
0.0,,Cancel,227743939,,,-1000,,,
0.0,,Insert,227744719,0,A,1000,126400,G,
0.0,,Cancel,227744327,,,-1000,,,
0.0,,Insert,227744731,0,A,3000,126600,G,
0.0,,Cancel,227743947,,,-2000,,,
0.0,,Insert,227744771,0,A,2000,161000,G,
0.0,,Cancel,227743771,,,-420,,,
0.0,,Cancel,227744719,,,-1000,,,
0.0,,Insert,227744815,0,A,980,127000,G,
0.0,,Cancel,227744771,,,-2000,,,
0.0,,Insert,227744847,0,A,2000,160900,G,
0.0,,Cancel,227744815,,,-980,,,
0.0,,Insert,227744955,0,A,1000,126400,G,
0.0,,Cancel,227743963,,,-1000,,,
0.0,,Cancel,227744731,,,-3000,,,
0.0,,Cancel,227744847,,,-2000,,,
0.0,,Insert,227745015,0,A,2000,161000,G,
0.0,,Cancel,227745015,,,-2000,,,
0.0,,Insert,227745055,0,A,2000,160900,G,
0.0,,Cancel,227744355,,,-1000,,,
0.0,,Insert,227745367,0,A,8000,126500,G,
0.0,,Insert,227745555,0,B,1000,126300,G,
0.0,,Cancel,227744955,,,-1000,,,
0.0,,Insert,227745579,0,A,1000,126400,G,
0.0,,Insert,227745583,0,A,3000,126600,G,
0.0,,Cancel,227745555,,,-1000,,,
0.0,,Cancel,227745579,,,-1000,,,
0.0,,Cancel,227745583,,,-3000,,,
0.0,,Cancel,227745367,,,-8000,,,
0.0,,Insert,227745863,0,A,1000,126500,G,
0.0,,Insert,227745891,0,A,1000,126400,G,
0.0,,Insert,227745907,0,A,3000,126700,G,
0.0,,Cancel,227745891,,,-1000,,,
0.0,,Insert,227745947,0,A,8000,126500,G,
0.0,,Cancel,227745863,,,-1000,,,
0.0,,Cancel,227745055,,,-2000,,,
0.0,,Insert,227746003,0,A,2000,161000,G,
0.0,,Insert,227746019,0,A,1000,126400,G,
0.0,,Cancel,227746003,,,-2000,,,
0.0,,Insert,227746027,0,A,2000,160900,G,
0.0,,Insert,227746139,0,A,1000,131400,G,
0.0,,Cancel,227743959,,,-1000,,,
0.0,,Insert,227746999,0,A,590,126400,G,
0.0,,Insert,227747007,0,A,1000,126400,G,
0.0,,Insert,227747035,0,A,1000,127900,G,
0.0,,Insert,227747039,0,A,980,126400,G,
0.0,,Cancel,227746999,,,-590,,,
0.0,,Insert,227747051,0,A,1000,126400,G,
0.0,,Cancel,227743871,,,-1000,,,
0.0,,Insert,227747067,0,A,1000,127100,G,
0.0,,Insert,227747075,0,A,1000,126400,G,
0.0,,Cancel,227743931,,,-2000,,,
0.0,,Insert,227747087,0,B,2000,92400,G,
0.0,,Insert,227747095,0,B,980,125600,G,
0.0,,Insert,227747343,0,A,580,126400,G,
0.0,,Cancel,227743475,,,-980,,,
0.0,,Insert,227747547,0,B,980,126200,G,
0.0,,Cancel,227747343,,,-580,,,
0.0,,Cancel,227747075,,,-1000,,,
0.0,,Cancel,227747039,,,-980,,,
0.0,,Insert,227747551,0,A,8000,126400,G,
0.0,,Insert,227747555,0,B,580,126200,G,
0.0,,Insert,227747651,0,A,980,126400,G,
0.0,,Cancel,227747555,,,-580,,,
0.0,,Cancel,227747547,,,-980,,,
0.0,,Cancel,227743839,,,-980,,,
0.0,,Cancel,227743699,,,-1000,,,
0.0,,Cancel,227746027,,,-2000,,,
0.0,,Insert,227747727,0,A,2000,160800,G,
0.0,,Insert,227747763,0,B,580,126200,G,
0.0,,Insert,227747767,0,B,980,126200,G,
0.103513,,Insert,5043971,1,B,1,127700,G,
0.11263,,Insert,7001698,1,A,10000,126900,G,
0.11263,,Insert,7001699,1,B,10000,125700,G,
0.117595,,Cancel,227747551,,,-8000,,,
0.117615,,Cancel,227747651,,,-980,,,
0.11763,,Insert,227747787,0,A,980,126900,G,
0.117631,,Insert,227747791,0,B,1000,126200,G,
0.117674,,Insert,227747799,0,B,1000,124700,G,
0.117739,,Insert,227747803,0,B,1000,126200,G,
0.117759,,Insert,227747807,0,B,1000,126200,G,
0.117823,,Cancel,227747727,,,-2000,,,
0.117823,,Insert,227747819,0,A,2000,160900,G,
0.117827,,Cancel,227747051,,,-1000,,,
0.120469,,Cancel,227746019,,,-1000,,,
0.120475,,Insert,227747899,0,B,1000,126300,G,
0.120476,,Insert,227747903,0,B,1000,126300,G,
0.120497,,Cancel,227747807,,,-1000,,,
0.120501,,Cancel,227747095,,,-980,,,
0.120502,,Cancel,227747803,,,-1000,,,
0.120503,,Cancel,227747007,,,-1000,,,
0.120507,,Insert,227747907,0,B,3000,126000,G,
0.120533,,Insert,227747911,0,A,1000,126600,G,
0.120544,,Insert,227747915,0,A,1000,126400,G,
0.120551,,Cancel,227747087,,,-2000,,,
0.120551,,Insert,227747919,0,B,2000,92500,G,
0.120567,,Cancel,227747911,,,-1000,,,
0.120579,,Insert,227747923,0,A,3000,126600,G,
0.120579,,Cancel,227745907,,,-3000,,,
0.12078,,Cancel,227747899,,,-1000,,,
0.122334,,Cancel,227747923,,,-3000,,,
0.12272,,Insert,227747939,0,B,2000,126000,G,
0.122932,,Cancel,227747799,,,-1000,,,
0.122982,,Cancel,227747915,,,-1000,,,
0.123198,,Cancel,227745947,,,-8000,,,
0.123652,,Cancel,227747035,,,-1000,,,
0.123805,,Insert,227748127,0,A,980,127000,G,
0.12386,,Insert,227748139,0,B,1000,126300,G,
0.123929,,Cancel,227747819,,,-2000,,,
0.123929,,Insert,227748151,0,A,2000,161000,G,
0.124045,,Cancel,227748127,,,-980,,,
0.12416,,Insert,227748191,0,A,980,127000,G,
0.124172,,Cancel,227748151,,,-2000,,,
0.124172,,Insert,227748195,0,A,2000,160900,G,
0.124252,,Cancel,227748195,,,-2000,,,
0.124252,,Insert,227748207,0,A,2000,161000,G,
0.124375,,Cancel,227748207,,,-2000,,,
0.124375,,Insert,227748219,0,A,2000,160900,G,
0.12443,,Cancel,227748219,,,-2000,,,
0.12443,,Insert,227748223,0,A,2000,161000,G,
0.125688,,Cancel,227748139,,,-1000,,,
0.126405,,Cancel,227748191,,,-980,,,
0.126525,,Cancel,227748223,,,-2000,,,
0.126525,,Insert,227748287,0,A,2000,160900,G,
0.126608,,Cancel,227748287,,,-2000,,,
0.126608,,Insert,227748291,0,A,2000,161000,G,
0.126692,,Insert,227748295,0,A,980,127000,G,
0.166161,,Insert,227748803,0,A,1000,126600,G,
0.169322,,Insert,227748839,0,A,2000,127600,G,
0.171315,,Cancel,227748295,,,-980,,,
0.171512,,Cancel,227748291,,,-2000,,,
0.171512,,Insert,227748851,0,A,2000,160900,G,
0.17156,,Cancel,227748851,,,-2000,,,
